101374	107132	226166
184748	185001	104842
35265	21426	127610
36566	29478	182636
155631	157221	58923
97600	12671	294536
57118	60163	196932
229806	227975	260565
14676	8290	228274
106766	32528	275595
107251	108007	72847
223586	21822	268048
2318	65707	187275
254467	260609	127242
346254	171192	179429
107783	108117	111341
399610	399299	167466
30896	32005	69883
220884	98811	217077
105834	104498	63807
297541	299574	234693
216739	14403	244897
27933	36906	217844
164503	152427	256886
6312	98875	155397
223572	228993	203507
160499	145019	253023
104963	22985	193770
38678	25556	174059
108907	10061	295076
109833	108679	112572
26885	37041	90954
151259	147781	232749
429200	51352	261549
425968	263756	242070
227501	7472	228665
63125	55802	279050
28113	27115	115740
101984	100097	107477
122480	34028	199576
230759	64103	235976
216689	230569	191299
428828	415109	284085
376993	377782	189878
149656	160870	276450
13765	99496	196621
14391	8192	246593
213928	212415	200380
104034	105640	188625
27622	27743	85496
14377	2594	232904
222386	219670	242225
273425	259898	261964
213131	218127	248273
54435	428854	269573
150230	153255	208293
110480	97628	219291
222884	222475	30716
258223	429272	296346
107630	99793	181227
29229	30673	165246
362240	364342	219814
163374	145205	262340
210611	105873	255554
62410	56738	240136
111510	104499	246707
108389	102119	138111
12495	36609	180857
216826	219073	211273
138812	147272	181241
4440	98026	172376
223500	214834	286961
32717	30983	197698
158897	149409	292630
4447	210777	280756
21119	25562	164614
352985	353459	185840
16865	6942	8114
226081	25643	259426
217205	228849	135380
217487	106734	186725
55579	56996	287909
58294	57323	192326
105475	221861	236667
161153	154020	285835
109729	105254	237094
81168	78910	278871
78036	78021	93572
93919	95801	168728
110802	32394	247468
6498	215086	282168
369796	369258	244739
288227	285398	15898
25931	108370	211611
10635	12408	83726
161243	155136	218916
228584	100667	184005
5794	61881	270849
273853	261336	256646
99138	216099	166466
110949	215576	179250
106558	99628	194472
369495	361734	213404
271073	263601	239062
6401	12423	283410
12111	10102	194848
22441	220360	274477
273725	267915	154234
172811	173284	197807
9896	28933	206512
52699	52152	102571
216920	99798	276124
270771	259367	282642
207796	227021	130340
228416	227664	157721
4510	16109	60726
32923	29029	251343
227713	6419	281759
16691	29938	262959
108285	101789	148626
12804	9843	292344
257728	259473	217999
99884	102665	140693
222598	218646	112994
152097	138236	158455
38556	33231	51537
157108	154514	65959
277079	276917	76658
226120	211188	289903
406337	405916	162334
10086	10573	242911
100434	98247	132195
218312	214068	244847
205578	213863	229051
23684	109895	268885
29497	110152	196186
152453	155810	155316
210192	222752	282686
149441	152392	121421
3505	6726	148150
318298	320436	242750
300818	294992	230182
215134	4011	279830
57763	55617	110922
60506	227579	242007
30554	106900	276408
419782	429733	253650
160827	138431	215820
15153	8586	167876
214899	106804	244619
34913	105716	147839
159345	162461	126898
225736	226002	299743
218073	104449	96229
9794	8247	219710
151734	152178	134376
66298	54334	202740
209511	223000	195176
109474	100398	252519
51978	427196	285620
37660	35974	34372
31944	31148	213232
3305	4117	89528
66100	62050	128945
227328	219216	293346
97737	103219	259220
211823	63163	179735
218507	102412	291904
111227	32091	245110
194850	188972	29061
367203	367025	148346
102037	101696	74871
154392	159237	178347
426060	419899	156808
97681	230200	280623
101745	215587	279382
100351	228891	291026
230733	13277	244420
221052	209238	57165
29955	106517	262796
102836	36266	218702
273834	263444	251532
98275	35475	283867
212816	9162	214384
99254	222439	221896
98331	103681	243843
107284	28986	194141
149732	145524	188616
106624	106164	180027
294339	294574	68705
6611	99975	205058
54980	55336	56964
2102	3572	159091
7217	105551	239853
212078	209043	168638
146939	151173	148059
101721	10608	176736
84918	82583	187456
30371	32001	109910
109587	120031	285563
329551	328981	97745
60802	13329	207707
100861	107958	135840
59431	57346	262545
129526	129416	48191
22189	24355	179697
151878	151042	198394
60785	59787	152787
26005	101005	227240
31307	11891	264866
97620	215358	176430
4317	104138	266043
212395	213550	258810
218260	227591	252319
217042	97635	59778
151437	151544	147164
66922	70777	265672
25632	221972	248880
26138	34139	273131
6393	216267	218510
122622	122994	124744
263799	266976	282169
21958	25484	197974
73557	401549	275381
123396	119078	66015
61705	64844	168987
211240	228868	158766
212748	59964	280124
200216	200168	172534
178375	173756	188690
147701	149389	163324
299897	302588	228233
222536	225158	298223
364014	364519	151037
229771	212659	185643
289145	289434	97031
366204	359980	94796
231075	23414	232955
107764	35111	229244
227249	24098	285895
163168	116424	252113
164619	164158	266431
22418	217068	256933
38669	30745	137835
61541	57554	229144
12762	12389	261014
10506	36468	252936
244382	242889	296171
108717	118798	282054
149979	149336	83854
27861	122294	206391
215092	101629	220272
372039	336886	137979
320849	326645	205153
363508	368883	227553
61085	61131	16340
141538	141735	115876
223597	222251	267526
147720	151816	251841
228076	217382	271560
57654	60136	252759
121745	122378	287559
216264	6107	200173
221176	98264	191106
4223	218212	208920
15067	217398	206674
97548	9315	168303
105805	29537	298491
209701	99605	274208
57421	54527	158440
16240	14300	163248
211347	212681	85991
420890	428653	193813
263465	254710	292210
213611	210105	103685
7587	5598	171233
408220	409296	15920
7820	4274	105103
120103	26991	267117
107863	108478	61271
99779	3996	205700
296733	298984	266435
22371	25702	175182
6427	3590	156382
145731	149531	209003
229005	210004	151360
220215	208943	93762
98797	2630	242996
122440	27219	222930
231064	223710	40597
111716	109185	264006
57255	56309	222060
65282	9218	294555
151541	147657	41445
212918	226422	142574
105740	22774	139546
23384	24755	162456
222381	16130	296242
152715	145076	212192
209604	219065	82871
105423	98184	193008
24289	26720	212964
145552	145509	48950
30977	33134	211641
107028	27650	179530
55999	64697	196376
29806	26744	270301
56245	60088	298823
216437	105969	255054
38212	109657	134609
363592	367342	292169
36308	21425	262360
147088	164062	296475
151723	155221	64481
220880	98316	148185
99263	212970	257822
30370	99854	279157
212328	99158	295158
315266	316181	265794
28144	38660	282100
325178	95738	143699
18941	19328	249817
24731	36478	254228
33037	33510	43640
293428	298891	166547
400375	400154	238020
23029	29680	276424
319420	319502	13234
211807	217016	281056
225872	4851	117718
107009	100544	171780
12704	103328	161030
230355	21772	258596
128801	131474	143022
